"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CYBB",0.000234007,0.00037805,0.001345838,0.001167643,0.000211177,0.000770079,0.000687207,0.000436412,0.001210213,0.000408752,0.002482964,0.000148395
"CYSLTR1",7.39e-05,0.001259635,0.002490037,0.000238416,0.000203155,0.001055101,0.002644251,0.000554239,0.000325113,0.000705396,0.001688161,0
"CYSLTR2",0,0,0,1.06e-06,0,0,5.32e-06,0,0,1.69e-06,0,0
"CYTH1",0.046353695,0.039534618,0.128046816,0.029720412,0.043758381,0.053240401,0.085288361,0.08517741,0.058403839,0.112495226,0.033706901,0.045739172
"CYTH2",0.000502488,0.000286874,0.000338594,8.5e-05,0.000407843,0.000315229,0.00029133,0.000491542,0.00014303,0.000772997,0.000103149,0.000415699
"CYYR1",0,0,0,0,0,7.16e-07,0,8.4e-07,0,0,0,0
"DAB2IP",0.00384167,0.003542031,0.015111796,0.002158834,0.002496051,0.006350532,0.009474554,0.005828747,0.003773566,0.007114601,0.004802962,0.012092847
"DAG1",0.031816963,0.009602304,0.017350833,0.005165782,0.018560418,0.008423848,0.017464518,0.030908067,0.009545375,0.02614941,0.029122522,0.022846257
"DAGLA",0.001781041,0.000920085,0.002927853,0.001894073,0.000954252,0.000721103,0.001600418,0.001053646,0.003031985,0.001164947,0.002619429,0.000451289
"DAGLB",0.001020106,0.000453168,0.000831216,0.000632794,0.00070551,0.000646623,0.000776895,0.000780216,0.00090013,0.000674406,0.00102653,0.001046611
"DCBLD1",0.009526228,0.001552479,0.0099448,0.002210648,0.005344562,0.003880973,0.003422016,0.007649137,0.008472657,0.010237292,0.001856114,0.006992096
"DCBLD2",0.017210639,0.000305186,0.012686203,0.000594921,0.007167434,0.000690098,0.007193922,0.005007949,0.047525538,0.000679012,0.016874837,0.002621417
"DCC",0,1.39e-05,0,6.12e-06,0,0,0,0,0,0,0,4.06e-05
"DCHS1",0.000436777,0.000409515,0.000737583,0.001091907,0.000352627,0.000671811,0.004342726,0.000384944,0.000916735,0.000184282,0.001042951,0.000168299
"DCHS2",0,0.001237698,8.35e-05,4.05e-05,0,0.000751105,0.000728832,0,0.000485888,0.000598886,0,0.000103313
"DCST2",8.43e-06,5.2e-05,0.000115237,3.39e-05,4.21e-05,2.95e-05,0.000186436,0.000216845,1.36e-05,8.96e-05,9.16e-05,0.00016431
"DCSTAMP",0,0,6.36e-05,0,0,0,0,0,0,0,0,0
"DCT",0,2.96e-06,0,4.21e-07,0,0,1.69e-06,9.86e-07,2.95e-06,9.86e-07,0,0
"DDR2",0.000824717,0.000413771,0.001040282,0.00035868,0.000384243,0.000607153,0.000340746,0.000291004,0.00080703,0.000468335,0.000719302,0.000215551
"DGCR2",0.025255297,0.02458542,0.080888105,0.017331137,0.028356038,0.02174173,0.062929076,0.063808962,0.033985116,0.027505911,0.029749993,0.011923623
"DGKG",0.003554392,0,0.000804567,0.000996823,0.001036698,0.000458416,0.002431809,0.001468105,0.008905822,1.74e-05,0.000486482,0.010385489
"DIAPH1",0.041120881,0.009560163,0.042652192,0.011653196,0.023837469,0.009556354,0.065327833,0.021083713,0.089347761,0.019562237,0.032979333,0.057887664
"DISP2",0.000176482,8.43e-05,0.000212283,0.000564427,0.000311709,4.03e-05,0.000200388,4.22e-05,0.000130252,8.2e-05,0.000126295,0.00022003
"DLG1",0.005143735,0.001629655,0.00299896,0.004934958,0.006362077,0.004602487,0.012727164,0.003037448,0.008646699,0.002497988,0.00238557,0.00938378
"DLG2",2.98e-05,2.47e-05,4.14e-05,6.5e-05,7.44e-06,0.000148286,2.71e-05,4.94e-05,5.42e-05,7.41e-05,4.58e-05,9.3e-06
"DLG4",7.24e-05,0.000129794,0.000267212,0.000358346,0.000161274,0.000165952,0.00028571,0.000497544,0.0006489,0.000389384,0.000381596,0.000206254
"DLG5",0.002300321,0.000728375,0.006362367,0.0006071,0.002050593,0.00276022,0.01063644,0.001571995,0.007860183,0.000948108,0.004729226,0.004752703
"DLK1",8.45e-05,7.17e-05,0.000156831,5.05e-05,2.11e-05,0.000104554,0.015162559,0,7.07e-05,0,0.000156831,0
