,tissueType,cellName,CellMarker,shortName,type
3614,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-366M4.3,,other
3615,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-2A4.4,,other
3616,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-483F11.7,,other
3617,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,FTLP14,,other
3618,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-718G2.5,,other
3619,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-18D7.3,,other
3620,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,CLCA2,,other
3621,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,KB-1440D3.13,,other
3622,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,CTBP2P8,,other
3623,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-359P18.1,,other
3624,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,HSPD1P6,,other
3625,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,AC124861.1,,other
3626,Placenta,Myeloid cells,SIGLEC10,,other
3627,Placenta,Myeloid cells,RP11-1143G9.4,,other
3628,Placenta,Myeloid cells,LYZ,,other
3629,Placenta,Myeloid cells,ADAMDEC1,,other
3630,Placenta,Myeloid cells,LILRB2,,other
3631,Placenta,Myeloid cells,HLA-DRB5,,other
3632,Placenta,Myeloid cells,SDS,,other
3633,Placenta,Myeloid cells,HLA-DOA,,other
3634,Placenta,Myeloid cells,SIGLEC1,,other
3635,Placenta,Myeloid cells,MMP9,,other
3636,Placenta,Myeloid cells,LILRB4,,other
3637,Placenta,Myeloid cells,C1QB,,other
3638,Placenta,Myeloid cells,TLR2,,other
3639,Placenta,Myeloid cells,TLR7,,other
3640,Placenta,Myeloid cells,S100A8,,other
3641,Placenta,Megakaryocytes,EGF,,other
3642,Placenta,Megakaryocytes,TUBB1,,other
3643,Placenta,Megakaryocytes,PPBP,,other
3644,Placenta,Megakaryocytes,ITGA2B,,other
3645,Placenta,Megakaryocytes,RP11-930O11.1,,other
3646,Placenta,Megakaryocytes,RP11-152K4.2,,other
3647,Placenta,Megakaryocytes,LINC00989,,other
3648,Placenta,Megakaryocytes,PF4,,other
3649,Placenta,Megakaryocytes,C6orf25,,other
3650,Placenta,Megakaryocytes,LINC00534,,other
3651,Placenta,Megakaryocytes,PKHD1L1,,other
3652,Placenta,Megakaryocytes,NRGN,,other
3653,Placenta,Megakaryocytes,DNM3,,other
3654,Placenta,Megakaryocytes,RP11-466L17.1,,other
3655,Placenta,Megakaryocytes,RP11-142C4.6,,other
3656,Spleen,AFP_ALB positive cells,SERPINA6,,other
3657,Spleen,AFP_ALB positive cells,PLG,,other
3658,Spleen,AFP_ALB positive cells,AMBP,,other
3659,Spleen,AFP_ALB positive cells,SERPINC1,,other
3660,Spleen,AFP_ALB positive cells,BHMT2,,other
3661,Spleen,AFP_ALB positive cells,LBP,,other
3662,Spleen,AFP_ALB positive cells,PRAP1,,other
3663,Spleen,AFP_ALB positive cells,APOB,,other
3664,Spleen,AFP_ALB positive cells,SERPINA1,,other
